t__s,ACT_RUDDER.Position_CMD,ACT_RUDDER.Position_FB,ACT_RUDDER.Torque_FB,ACT_RUDDER.Temperature_FB__dC,ACT_RUDDER.Voltage_FB__V
16.304046,8364,8364,0,25,6.11
16.404041,8364,8364,0,25,6.11
16.50404,8364,8364,0,25,6.11
16.604039,8364,8364,0,25,6.11
16.704038,8364,8364,0,25,6.11
16.804038,8364,8364,0,25,6.11
16.904047,8364,8364,0,25,6.11
17.004055,8364,8364,0,25,6.11
17.104041,8364,8364,0,25,6.11
17.204038,8364,8364,0,25,6.11
17.304038,8364,8364,0,25,6.11
17.404046,8364,8364,0,25,6.11
17.504044,8364,8364,0,25,6.11
17.604039,8364,8364,0,25,6.11
17.704055,8364,8364,0,25,6.11
17.807948,8364,8364,0,25,6.11
17.907947,8364,8364,0,25,6.11
18.007955,8364,8364,0,25,6.11
18.107947,8364,8364,0,25,6.11
18.207948,8364,8364,0,25,6.11
18.307948,8364,8364,0,25,6.11
18.407948,8364,8364,0,25,6.11
18.507949,8364,8364,0,25,6.11
18.60795,8364,8364,0,25,6.11
18.707948,8364,8364,0,25,6.11
18.808009,8364,8364,0,25,6.11
18.90801,8364,8364,0,25,6.11
19.008011,8364,8364,0,25,6.11
19.108018,8364,8364,0,25,6.11
19.20801,8364,8364,0,25,6.11
19.308016,8364,8364,0,25,6.11
19.408013,8364,8364,0,25,6.11
19.508011,8364,8364,0,25,6.11
19.608008,8364,8364,0,25,6.11
19.708009,8364,8364,0,25,6.11
19.811986,8364,8364,0,25,6.11
19.911937,8364,8364,0,25,6.11
20.011938,8400,8412,0,25,6.11
20.111937,8379,8388,0,25,6.1
20.211938,8404,8388,129,25,6.1
20.311938,8383,8396,129,25,6.1
20.411938,8369,8380,129,25,6.1
20.511937,8385,8372,0,25,6.1
20.611939,8372,8384,0,25,6.1
20.711937,8360,8364,0,25,6.11
20.81195,8374,8364,73,25,6.11
20.911938,8373,8368,73,25,6.11
21.011937,8368,8368,73,25,6.11
21.11194,8369,8368,73,25,6.11
21.211939,8357,8368,0,25,6.11
21.311937,8370,8364,0,25,6.11
21.411941,8381,8368,0,25,6.1
21.511937,8351,8372,100,25,6.1
21.611937,8355,8348,100,25,6.1
21.711937,8390,8372,100,25,6.1
21.81194,8371,8380,46,25,6.1
21.911936,8344,8360,46,25,6.11
22.012003,8361,8340,46,25,6.11
22.112003,8377,8368,46,25,6.06
22.212004,8340,8368,122,25,6.06
22.311999,8346,8340,122,25,6.06
22.412001,8367,8356,122,25,6.07
22.511999,8345,8360,46,25,6.07
22.612002,8350,8348,46,25,6.07
22.711999,8358,8356,46,25,6.08
22.812014,8343,8356,81,25,6.08
22.912,8353,8348,81,25,6.08
23.011927,8366,8356,81,25,6.08
23.11192,8354,8360,81,25,6.08
23.211924,8349,8352,73,25,6.08
23.31192,8360,8356,73,25,6.08
23.411928,8367,8364,73,25,6.11
23.511919,8357,8364,0,25,6.11
23.611924,8346,8352,0,25,6.11
23.711955,8358,8352,0,25,6.08
23.811939,8367,8360,102,25,6.08
23.911949,8351,8364,102,25,6.08
24.011923,8361,8360,102,25,6.08
24.111936,8361,8360,102,25,6.08
24.211926,8356,8360,0,25,6.08
24.31192,8358,8360,0,25,6.08
24.411926,8358,8360,0,25,6.06
24.511921,8358,8360,0,25,6.06
24.611921,8358,8360,0,25,6.06
24.71192,8359,8360,0,25,6.08
24.811954,8360,8360,0,25,6.08
24.911921,8361,8360,0,25,6.07
25.011951,8362,8360,0,25,6.07
25.11192,8363,8360,0,25,6.08
25.211961,8363,8360,0,25,6.08
25.311929,8363,8360,0,25,6.08
25.411953,8364,8360,0,25,6.09
25.511922,8364,8360,0,25,6.09
25.611977,8364,8360,0,25,6.09
25.711933,8364,8360,0,25,6.08
25.811973,8364,8360,0,25,6.08
25.911935,8364,8360,0,25,6.1
26.011977,8364,8360,0,25,6.1
26.111934,8364,8360,0,25,6.11
26.211984,8364,8360,0,25,6.11
26.311932,8364,8360,0,25,6.11
26.411979,8364,8360,0,25,6.1
26.511933,8364,8360,0,25,6.1
26.611951,8364,8360,0,25,6.1
26.711932,8364,8360,0,25,6.11
26.811981,8364,8360,0,25,6.11
26.911935,8364,8360,0,25,6.11
27.01195,8364,8360,0,25,6.11
27.111933,8364,8360,0,25,6.11
27.211981,8364,8360,0,25,6.11
27.311933,8364,8360,0,25,6.11
27.41195,8364,8360,0,25,6.11
27.511933,8364,8360,0,25,6.11
27.611952,8364,8360,0,25,6.11
27.711934,8364,8360,0,25,6.11
27.811981,8364,8360,0,25,6.11
27.911933,8364,8360,0,25,6.1
28.011954,8364,8360,0,25,6.1
28.111932,8364,8360,0,25,6.1
28.211952,8364,8360,0,25,6.1
28.311932,8364,8360,0,25,6.1
28.411956,8364,8360,0,25,6.11
28.511939,8364,8360,0,25,6.11
28.611959,8364,8360,0,25,6.11
28.711932,8364,8360,0,25,6.11
28.81198,8364,8360,0,25,6.11
28.911933,8364,8360,0,25,6.11
29.011951,8364,8360,0,25,6.11
29.111933,8364,8360,0,25,6.12
29.211959,8364,8360,0,25,6.12
29.311933,8364,8360,0,25,6.12
29.411951,8364,8360,0,25,6.12
29.511942,8364,8360,0,25,6.12
29.611951,8364,8360,0,25,6.12
29.711933,8364,8360,0,25,6.12
29.811982,8364,8360,0,25,6.12
29.911933,8364,8360,0,25,6.11
30.011952,8364,8360,0,25,6.11
30.111935,8364,8360,0,25,6.11
30.211936,8364,8360,0,25,6.11
30.311934,8364,8360,0,25,6.11
30.411959,8364,8360,0,25,6.11
30.511936,8364,8360,0,25,6.11
30.611936,8364,8360,0,25,6.11
30.711932,8364,8360,0,25,6.11
30.811955,8364,8360,0,25,6.11
30.911942,8364,8360,0,25,6.11
31.011946,8364,8360,0,25,6.11
31.111934,8364,8360,0,25,6.11
31.211945,8364,8360,0,25,6.11
31.311934,8364,8360,0,25,6.11
31.411947,8412,8368,0,25,6.04
31.511941,8378,8400,63,25,6.04
31.611949,8359,8372,63,25,6.04
31.711934,8384,8368,63,25,6.12
31.811982,8300,8348,218,25,6.12
31.911934,8243,8312,218,25,6.1
32.01195,8289,8256,218,25,6.1
32.111934,8385,8328,218,25,6.08
32.211951,8395,8408,95,25,6.08
32.311933,8327,8360,95,25,6.08
32.411952,8457,8380,95,25,6.1
32.511932,8380,8448,34,25,6.1
32.611951,8301,8348,34,25,6.1
32.711933,8349,8304,34,25,6.1
32.811983,8436,8388,191,25,6.1
